Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strains]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File	Position
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos119.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos119
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos120.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos120
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos121.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos121
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos122.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos122
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos123.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos123
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos124.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos124
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos125.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos125
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos126.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos126
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos127.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos127
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos128.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos128
