Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strains],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,Position
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos116],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos116.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos116
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos117],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos117.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos117
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos118],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos118.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos118
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos119],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos119.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos119
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos120],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos120.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos120
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos121],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos121.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos121
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos122],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos122.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos122
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos123],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos123.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos123
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos124],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos124.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos124
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos125],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos125.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos125
